start_time,end_time,note_value,velocity,instrument_program_number
0.0019210083,0.230521,79,79,0
0.461042,1.137632,79,71,0
1.137632,1.2458884,77,71,0
1.2458884,1.3487319,76,69,0
1.3541447,1.4624012,76,70,0
1.4624012,1.5706575,74,64,0
1.5706575,1.6789138,72,67,0
1.6789138,1.7871703,71,66,0
1.7871703,1.8704542,72,47,0
1.8612005,1.9444844,74,49,0
1.9352306,2.0185146,72,55,0
2.0092607,2.0925448,74,52,0
2.0832908,2.166575,72,57,0
2.157321,2.240605,74,51,0
2.2313511,2.3146353,72,59,0
2.3053813,2.3886654,74,56,0
2.3794117,2.4895272,72,63,0
2.4534419,2.5616982,74,62,0
2.5616982,2.6699545,76,63,0
2.6699545,3.1178496,67,69,0
3.556318,3.6680915,79,77,0
3.779865,3.8916385,79,73,0
4.003412,4.674053,79,69,0
4.674053,4.7823095,77,64,0
4.7823095,4.885153,76,61,0
4.890566,4.998822,76,64,0
4.998822,5.1070786,74,60,0
5.1070786,5.215335,72,61,0
5.215335,5.323591,71,60,0
5.323591,5.406875,72,47,0
5.3976216,5.4809055,74,49,0
5.4716516,5.5549355,72,55,0
5.545682,5.628966,74,52,0
5.619712,5.702996,72,57,0
5.6937423,5.777026,74,51,0
5.767772,5.851056,72,59,0
5.8418026,5.9250865,74,56,0
5.9158325,6.025948,72,63,0
5.989863,6.0981193,74,62,0
6.0981193,6.2063756,76,63,0
6.2063756,6.6510177,67,62,0
7.086431,7.193574,69,54,0
7.300717,7.40786,72,53,0
7.5150027,7.6174617,77,54,0
7.7199206,7.834582,81,52,0
7.949243,8.165351,84,58,0
8.812894,8.918811,67,56,0
9.024729,9.130646,72,54,0
9.236563,9.338341,76,56,0
9.440119,9.553053,79,53,0
9.665988,9.882095,84,61,0
10.422363,10.5304165,67,63,0
10.5304165,11.827061,79,83,0
11.827061,11.8990965,77,60,0
11.8990965,11.971132,79,68,0
11.971132,12.043167,77,68,0
12.043167,12.151221,76,76,0
12.151221,12.2592745,77,71,0
12.2592745,12.709252,75,78,0
12.709252,13.142278,76,76,0
13.993305,14.20514,69,57,0
14.20514,14.311057,72,57,0
14.311057,14.416974,69,52,0
14.416974,14.522892,77,57,0
14.522892,14.628809,72,51,0
14.628809,14.734726,81,55,0
14.734726,14.840643,77,50,0
14.840643,15.062964,84,63,0
15.714716,15.92655,67,59,0
15.92655,16.032467,72,59,0
16.032467,16.138386,67,53,0
16.138386,16.244303,76,59,0
16.244303,16.35022,72,52,0
16.35022,16.456137,79,57,0
16.456137,16.562054,76,50,0
16.562054,16.782837,84,63,0
17.436022,17.649302,81,85,0
17.649302,17.862581,79,74,0
17.862581,17.969221,77,79,0
18.075863,18.182503,76,73,0
18.289143,18.502422,76,85,0
18.502422,18.715702,74,73,0
18.715702,18.822344,72,79,0
18.928984,19.035624,71,73,0
19.142263,19.271984,72,82,0
19.250364,19.380085,67,69,0
19.358463,19.488184,69,70,0
19.466564,19.596285,71,68,0
19.574665,19.704386,72,73,0
19.682766,19.812485,74,72,0
19.790865,19.920586,76,76,0
19.898966,20.028687,77,74,0
20.007067,20.136787,79,77,0
20.115168,20.244886,81,72,0
20.223267,20.352987,83,77,0
20.331367,20.439468,84,71,0
20.439468,20.551962,79,75,0
20.664457,20.77695,79,72,0
21.00194,21.114433,79,54,0
21.114433,21.226929,81,54,0
21.226929,21.339422,79,51,0
21.451918,21.564411,77,54,0
21.564411,21.676907,79,54,0
21.676907,21.7894,77,51,0
21.901896,22.014389,76,54,0
22.014389,22.126883,77,54,0
22.126883,22.239378,76,50,0
22.351871,22.464367,74,54,0
22.464367,22.57686,76,54,0
22.57686,22.689356,74,53,0
22.689356,22.819263,72,79,0
22.797611,22.927519,67,72,0
22.905869,23.035776,69,76,0
23.014124,23.144032,71,73,0
23.122381,23.252289,72,79,0
23.230637,23.360544,74,75,0
23.338894,23.468801,76,80,0
23.44715,23.577057,77,74,0
23.555407,23.685314,79,78,0
23.663662,23.79357,81,74,0
23.77192,23.901827,83,79,0
23.880175,23.988432,84,72,0
23.988432,24.100925,79,75,0
24.21342,24.325914,79,72,0
24.550903,24.663399,79,54,0
24.663399,24.775892,81,54,0
24.775892,24.888388,79,51,0
25.000881,25.113375,77,54,0
25.113375,25.22587,79,54,0
25.22587,25.338364,77,50,0
25.45086,25.563353,76,54,0
25.563353,25.675848,77,54,0
25.675848,25.788342,76,51,0
25.900837,26.01333,74,54,0
26.01333,26.125826,76,54,0
26.125826,26.23832,74,51,0
26.23832,26.917086,72,81,0
26.917086,27.025341,74,73,0
27.025341,27.133598,76,68,0
27.133598,27.24909,77,82,0
27.36458,27.797606,77,79,0
27.797606,27.905863,79,76,0
27.905863,28.014118,81,71,0
28.014118,28.23063,79,83,0
28.23063,28.447144,76,78,0
28.447144,28.559639,84,81,0
