start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.749298,70,50,0
0.749298,1.162663,65,45,0
1.162663,1.905007,62,50,0
1.905007,2.311373,65,48,0
2.311373,3.056021,70,52,0
3.056021,3.451669,74,54,0
3.451669,4.198635,77,57,0
4.198635,4.384221,82,58,0
4.384221,4.569807,74,51,0
4.569807,4.7578917,77,56,0
4.748858,4.93856,75,52,0
4.9295263,5.1192284,74,51,0
5.110195,5.2998967,72,49,0
5.2908635,5.48084,70,48,0
5.471532,5.657694,69,47,0
5.657694,5.846826,67,50,0
5.83782,6.0275507,65,44,0
6.01849,6.2087646,64,44,0
6.199704,6.389979,65,45,0
6.380918,6.5714984,67,47,0
6.562132,6.7494564,69,50,0
6.7494564,6.79487,70,50,0
6.8856964,6.9311094,72,45,0
6.9311094,7.021936,70,49,0
7.021936,7.1127625,69,46,0
7.1127625,7.158176,70,50,0
7.2944155,7.339829,72,47,0
7.4760685,7.5214815,74,49,0
7.6577215,7.7059064,75,51,0
7.8504615,8.042359,76,53,0
8.033221,8.225208,77,50,0
8.215981,8.409627,79,55,0
8.400539,8.582302,77,50,0
8.582302,8.764065,82,59,0
8.764065,8.956188,74,50,0
8.956188,9.150453,77,57,0
9.141202,9.3353815,75,55,0
9.326216,9.5187,74,53,0
9.509534,9.702018,72,51,0
9.692852,9.885566,70,49,0
9.87617,10.064081,69,47,0
10.064081,10.258346,67,50,0
10.249095,10.443303,65,43,0
10.434109,10.627183,64,50,0
10.617989,10.811063,65,43,0
10.801869,10.995145,67,50,0
10.985749,11.17366,69,45,0
11.17366,11.2658825,70,50,0
11.54255,11.639231,70,48,0
11.929273,12.036302,74,48,0
12.357386,12.733208,70,50,0
13.015075,13.062053,70,44,0
13.10903,13.208637,72,50,0
13.199582,13.29919,70,43,0
13.290134,13.391202,69,45,0
13.380687,13.494977,70,42,0
13.485839,13.851358,79,56,0
14.1332245,14.1802025,70,44,0
14.2271805,14.327089,72,50,0
14.3180065,14.417916,70,43,0
14.4088335,14.510175,69,45,0
14.49966,14.613813,70,42,0
14.604813,14.9648485,77,55,0
15.246715,15.293693,70,44,0
15.340671,15.444021,72,50,0
15.434626,15.537977,70,43,0
15.528582,15.633052,69,45,0
15.622537,15.736799,70,42,0
15.727689,16.092098,72,52,0
16.092098,16.46792,77,49,0
16.46792,16.854643,75,48,0
16.854643,17.229292,73,55,0
17.229292,17.431108,74,49,0
17.532017,17.578995,70,44,0
17.625973,17.72558,72,50,0
17.716524,17.816132,70,43,0
17.807077,17.908144,69,45,0
17.897629,18.011919,70,42,0
18.00278,18.368301,79,56,0
18.650167,18.697145,70,44,0
18.744123,18.844032,72,50,0
18.83495,18.934858,70,43,0
18.925776,19.027117,69,45,0
19.016602,19.130756,70,42,0
19.121756,19.48179,77,55,0
19.763657,19.810635,70,44,0
19.857613,19.960964,72,50,0
19.951569,20.05492,70,43,0
20.045525,20.149994,69,45,0
20.139479,20.253742,70,42,0
20.24463,20.609041,72,52,0
20.609041,20.984863,75,49,0
20.984863,21.377918,69,48,0
21.377918,21.743437,70,55,0
22.474476,22.570538,79,77,0
22.474476,22.570538,70,64,0
22.474476,22.570538,74,64,0
22.858723,22.952972,67,64,0
23.612728,23.70972,74,75,0
23.612728,23.70972,66,63,0
23.612728,23.70972,69,63,0
24.0007,24.09525,62,67,0
24.757082,25.50173,63,43,0
25.50173,25.60412,65,36,0
25.594812,25.69772,63,36,0
25.687893,25.795982,62,36,0
25.786158,25.88442,63,36,0
25.88442,26.070007,72,42,0
26.070007,26.255592,70,37,0
26.255592,26.626764,70,43,0
26.626764,27.015995,70,38,0
27.015995,27.212542,70,39,0
27.20332,27.396988,75,45,0
27.387766,27.581432,74,44,0
27.57221,27.765877,73,42,0
27.756655,27.951025,72,40,0
27.941101,28.148888,71,38,0
28.139578,28.511902,70,41,0
29.25655,30.001198,63,45,0
30.001198,30.103588,65,42,0
30.09428,30.197187,63,39,0
30.18736,30.29545,62,42,0
30.285625,30.383888,63,40,0
30.383888,30.578754,72,54,0
30.569475,30.75506,71,48,0
30.75506,31.126232,71,53,0
31.126232,31.515463,71,47,0
31.515463,31.712011,72,50,0
31.702787,31.896456,79,58,0
31.887234,32.080902,75,56,0
32.07168,32.265347,74,54,0
32.256123,32.450493,72,51,0
32.440567,32.648354,70,49,0
32.639046,33.01137,69,50,0
33.75602,33.952564,70,59,0
33.943344,34.13701,86,62,0
34.12779,34.321457,82,61,0
34.312233,34.5059,81,60,0
34.496677,34.691048,79,58,0
34.68112,34.88891,77,57,0
34.8796,35.251926,76,62,0
35.996574,36.19312,77,52,0
36.1839,36.377567,81,58,0
36.368343,36.56201,77,56,0
36.552788,36.746456,76,55,0
36.737232,36.931602,74,53,0
36.921677,37.129463,72,51,0
37.120155,37.49248,71,56,0
38.3354,38.43154,72,46,0
38.43154,38.527378,71,49,0
38.527378,38.622765,72,44,0
38.622765,38.717842,74,49,0
38.717842,38.812542,72,44,0
38.812542,38.906948,71,49,0
38.906948,39.00098,72,44,0
39.09465,39.1883,72,49,0
39.1883,39.281673,76,54,0
39.281673,39.375034,72,49,0
39.468113,39.561195,72,53,0
39.561195,39.654278,77,57,0
39.654278,39.747356,72,52,0
