start_time,end_time,note_value,velocity,instrument_program_number
1.3707935,1.5825084,70,47,0
1.5825084,1.788383,74,50,0
1.9942575,2.2053254,75,51,0
2.4161773,2.8262932,76,52,0
2.8262932,3.0321677,77,52,0
3.0321677,3.135105,74,51,0
3.1865737,3.2380424,74,52,0
3.2380424,3.3367004,72,54,0
3.4353588,3.5395255,71,50,0
3.6436923,3.743866,72,52,0
3.8440397,3.9465687,74,50,0
4.0490975,4.4600677,77,54,0
4.4600677,4.6635404,75,46,0
4.6635404,4.7652764,69,46,0
4.867013,4.964201,70,52,0
5.061389,5.474023,70,48,0
5.474023,5.6774955,71,47,0
5.6774955,5.774332,72,51,0
5.8711686,6.2817087,72,50,0
6.2817087,6.4859715,73,50,0
6.4859715,6.5835323,74,54,0
6.681093,6.7840304,72,50,0
6.8869677,6.985626,74,55,0
7.0842843,7.18971,75,50,0
7.0842843,7.18971,72,50,0
7.2951365,7.697389,74,55,0
7.2951365,7.697389,70,55,0
7.697389,7.848234,72,50,0
7.697389,7.848234,69,50,0
7.8985157,8.004374,70,47,0
8.004374,8.11023,72,47,0
8.11023,8.316105,74,50,0
8.521979,8.7330475,75,51,0
8.943899,9.354015,76,52,0
9.354015,9.55989,77,52,0
9.55989,9.6628275,74,51,0
9.714296,9.765764,74,52,0
9.765764,9.864423,72,54,0
9.963081,10.067247,71,50,0
10.171414,10.271588,72,52,0
10.371762,10.474291,74,50,0
10.57682,10.98779,77,54,0
10.98779,11.191262,75,46,0
11.191262,11.292998,69,46,0
11.394735,11.491923,70,56,0
11.589111,11.790237,82,50,0
11.790237,11.890411,82,53,0
11.990585,12.090758,82,48,0
12.190932,12.287769,72,56,0
12.384606,12.5880785,79,50,0
12.5880785,12.690012,79,53,0
12.792144,12.894275,79,50,0
12.996406,13.093967,70,54,0
13.191528,13.291701,70,50,0
13.391875,13.440656,72,50,0
13.440656,13.489436,74,45,0
13.489436,13.538217,72,45,0
13.538217,13.586997,70,45,0
13.586997,13.687946,72,50,0
13.687946,13.792959,74,45,0
13.792959,14.195212,70,55,0
14.396338,14.502196,70,47,0
14.502196,14.608053,74,47,0
14.608053,14.810962,77,54,0
15.01387,15.22193,76,51,0
15.429989,15.528998,84,59,0
15.628877,15.830367,75,52,0
16.036242,16.439432,74,51,0
16.439432,16.647766,71,50,0
16.647766,16.848114,72,52,0
16.848114,17.053171,79,50,0
17.053171,17.360394,70,54,0
17.360394,17.412268,72,43,0
17.412268,17.464142,70,43,0
17.464142,17.62852,69,48,0
17.683311,17.788486,69,47,0
17.788486,17.893661,72,47,0
17.893661,18.09657,77,54,0
18.299479,18.507536,76,51,0
18.715595,18.814606,84,59,0
18.914484,19.115974,75,52,0
19.32185,19.527723,74,51,0
19.72504,19.933374,82,50,0
19.933374,20.13372,79,52,0
20.13372,20.33878,76,50,0
20.33878,20.542252,77,60,0
20.542252,20.749748,81,53,0
20.749748,20.851484,84,58,0
20.953222,21.054958,84,51,0
21.359602,21.468134,84,54,0
21.458267,21.567041,82,48,0
21.556932,21.66814,81,48,0
21.65803,21.76924,79,48,0
21.759129,21.874199,77,48,0
21.863445,21.98088,76,48,0
21.97098,22.06999,77,55,0
22.06999,22.169868,72,45,0
22.169868,22.270613,77,53,0
22.270613,22.371359,81,48,0
22.371359,22.474297,84,59,0
22.577232,22.68017,84,52,0
22.884562,22.986015,81,48,0
22.986015,23.094547,84,54,0
23.08468,23.193455,82,48,0
23.183346,23.294554,81,48,0
23.284445,23.395653,79,48,0
23.385542,23.500612,77,48,0
23.489859,23.607294,76,48,0
23.597393,23.696404,77,51,0
23.696404,23.795414,78,42,0
23.795414,23.89491,81,49,0
23.89491,23.995018,79,48,0
23.995018,24.095802,77,46,0
24.095802,24.197208,75,45,0
24.197208,24.299309,74,43,0
24.299309,24.413246,73,42,0
24.413246,24.619122,74,46,0
24.824995,25.036064,75,49,0
25.246916,25.657032,76,50,0
25.657032,25.862906,77,50,0
25.862906,25.965843,74,47,0
26.017311,26.06878,74,47,0
26.06878,26.167439,72,52,0
26.266096,26.370264,71,50,0
26.47443,26.574604,72,52,0
26.674778,26.777308,74,50,0
26.879835,27.290806,77,54,0
27.290806,27.494278,75,46,0
27.494278,27.596014,69,46,0
27.69775,27.794939,70,52,0
27.892126,28.30476,70,48,0
28.30476,28.508234,71,47,0
28.508234,28.60507,72,51,0
28.701906,29.112446,72,50,0
29.112446,29.31671,73,50,0
29.31671,29.41427,74,54,0
29.511831,29.614769,72,50,0
29.717707,29.816364,74,55,0
29.915022,30.020449,75,50,0
29.915022,30.020449,72,50,0
30.125874,30.528128,74,55,0
30.125874,30.528128,70,55,0
30.528128,30.678972,72,50,0
30.528128,30.678972,69,50,0
30.729254,30.835112,70,47,0
30.835112,30.94097,72,47,0
30.94097,31.146843,74,50,0
31.352718,31.563786,75,51,0
31.774637,32.184753,76,52,0
32.184753,32.39063,77,52,0
32.39063,32.493565,74,51,0
32.545033,32.596504,74,52,0
32.596504,32.69516,72,54,0
32.79382,32.897987,71,50,0
33.00215,33.102325,72,52,0
33.2025,33.30503,74,50,0
33.40756,33.818527,77,54,0
33.818527,34.022,75,46,0
34.022,34.123737,69,46,0
34.22547,34.322662,70,56,0
34.41985,34.620975,82,50,0
34.620975,34.72115,82,53,0
34.821323,34.921497,82,48,0
35.02167,35.118507,72,56,0
35.215343,35.418816,79,50,0
35.418816,35.520752,79,53,0
35.622883,35.725014,79,50,0
35.827145,35.924706,70,54,0
36.022266,36.12244,70,50,0
36.222614,36.271393,72,50,0
36.271393,36.320175,74,45,0
36.320175,36.368954,72,45,0
36.368954,36.417736,70,45,0
36.417736,36.518684,72,50,0
36.518684,36.623695,74,45,0
36.623695,37.02595,70,55,0
37.227077,37.332935,65,60,0
37.438793,37.53728,74,66,0
37.438793,37.53728,65,55,0
37.635773,38.052277,74,64,0
37.635773,38.052277,65,54,0
38.052277,38.210415,70,59,0
38.052277,38.210415,62,49,0
38.263126,38.361618,75,66,0
38.263126,38.361618,67,55,0
38.460106,38.876614,75,64,0
38.460106,38.876614,67,54,0
38.876614,39.03475,72,59,0
38.876614,39.03475,63,49,0
39.087463,39.287186,67,63,0
39.287186,39.489723,70,59,0
39.489723,39.68944,69,65,0
39.68944,39.891273,72,59,0
39.891273,39.9901,70,63,0
39.9901,40.08893,69,59,0
40.08893,40.187756,70,57,0
40.187756,40.291965,72,57,0
40.291965,40.39288,70,64,0
40.493793,40.59471,70,59,0
40.695625,40.794113,77,66,0
40.695625,40.794113,74,55,0
40.892605,41.30911,77,64,0
40.892605,41.30911,74,54,0
41.30911,41.467247,74,59,0
41.30911,41.467247,70,49,0
41.519962,41.61845,79,66,0
41.519962,41.61845,75,55,0
41.71694,42.133446,79,64,0
41.71694,42.133446,75,54,0
42.133446,42.291584,75,59,0
42.133446,42.291584,72,49,0
42.3443,42.544018,70,63,0
42.544018,42.746555,74,59,0
42.746555,42.946278,72,63,0
42.946278,43.148106,75,59,0
43.148106,43.246933,74,63,0
43.246933,43.34576,72,59,0
43.34576,43.444588,74,59,0
43.444588,43.548798,75,59,0
43.548798,43.65516,74,66,0
43.76152,43.86217,74,46,0
43.962822,44.063473,86,53,0
44.164124,44.365425,86,46,0
44.365425,44.566727,82,50,0
44.566727,44.77668,79,46,0
44.77668,45.178932,78,51,0
45.178932,45.38006,79,46,0
45.38006,45.48352,86,50,0
45.586983,45.695694,83,51,0
45.68581,45.79452,84,46,0
45.784637,45.89335,86,46,0
45.883465,45.992176,84,48,0
45.982292,46.091003,82,47,0
46.08112,46.18983,81,45,0
46.179947,46.28912,79,44,0
46.278774,46.392086,77,42,0
46.382236,46.776196,76,49,0
46.776196,46.973175,77,46,0
46.973175,47.074802,84,49,0
47.176235,47.2839,89,55,0
47.274086,47.382133,88,54,0
47.372284,47.480713,86,53,0
47.47083,47.5797,84,52,0
47.569782,47.68983,82,51,0
47.669098,47.78957,81,50,0
47.76877,47.88973,79,49,0
47.868855,47.968956,77,48,0
47.968956,48.07699,86,53,0
48.06714,48.175556,84,52,0
48.165672,48.27453,82,50,0
48.26461,48.373863,81,49,0
48.36391,48.48437,79,48,0
48.463566,48.584515,77,47,0
48.563637,48.685047,76,45,0
48.664078,48.7648,74,44,0
48.7648,48.86607,72,50,0
48.86607,48.96734,77,46,0
48.96734,49.068607,81,46,0
49.068607,49.14456,84,46,0
49.16988,49.28535,84,50,0
49.274853,49.39223,82,44,0
49.37983,49.51625,81,44,0
49.50385,49.596863,79,44,0
49.627865,50.0863,79,47,0
50.0863,50.262096,77,40,0
50.320694,50.42655,65,60,0
50.53241,50.6309,74,66,0
50.53241,50.6309,65,55,0
50.72939,51.145893,74,64,0
50.72939,51.145893,65,54,0
51.145893,51.30403,70,59,0
51.145893,51.30403,62,49,0
51.356747,51.455235,75,66,0
51.356747,51.455235,67,55,0
51.553726,51.97023,75,64,0
51.553726,51.97023,67,54,0
51.97023,52.12837,72,59,0
51.97023,52.12837,63,49,0
52.181084,52.380802,67,63,0
52.380802,52.58334,70,59,0
52.58334,52.783062,69,65,0
52.783062,52.98489,72,59,0
52.98489,53.083717,70,63,0
53.083717,53.182545,69,59,0
53.182545,53.281372,70,57,0
53.281372,53.389263,72,57,0
53.389263,53.49677,70,64,0
53.59742,53.69807,70,59,0
53.79872,53.89721,77,66,0
53.79872,53.89721,74,55,0
53.9957,54.412205,77,64,0
53.9957,54.412205,74,54,0
54.412205,54.570343,74,59,0
54.412205,54.570343,70,49,0
54.62306,54.721546,79,66,0
54.62306,54.721546,75,55,0
54.820038,55.23654,79,64,0
54.820038,55.23654,75,54,0
55.23654,55.39468,75,59,0
55.23654,55.39468,72,49,0
55.44739,55.647114,70,63,0
55.647114,55.84965,74,59,0
55.84965,56.049374,72,63,0
56.049374,56.2512,75,59,0
56.2512,56.35003,74,63,0
56.35003,56.448856,72,59,0
56.448856,56.547684,74,59,0
56.547684,56.651894,75,59,0
56.651894,56.752808,74,66,0
56.853725,56.95464,74,46,0
57.055553,57.15647,86,53,0
57.257385,57.459213,86,46,0
57.459213,57.661045,82,50,0
57.661045,57.870995,79,46,0
57.870995,58.27325,78,51,0
58.27325,58.474377,79,46,0
58.474377,58.57784,86,50,0
58.6813,58.79001,83,51,0
58.78013,58.888836,84,46,0
58.878956,58.987663,86,46,0
58.977783,59.08649,84,48,0
59.07661,59.185318,82,47,0
59.175438,59.284145,81,45,0
59.274265,59.38344,79,44,0
59.373093,59.486404,77,42,0
59.476555,59.870514,76,49,0
59.870514,60.067493,77,46,0
60.067493,60.169117,84,49,0
60.270554,60.37822,89,55,0
60.368404,60.476448,88,54,0
60.4666,60.575027,86,53,0
60.565147,60.67402,84,52,0
60.6641,60.784145,82,51,0
60.763412,60.88389,81,50,0
60.863083,60.984047,79,49,0
60.96317,61.063274,77,48,0
61.063274,61.171307,86,53,0
61.161457,61.26987,84,52,0
61.25999,61.368847,82,50,0
61.35893,61.468178,81,49,0
61.45823,61.57869,79,48,0
61.557884,61.678833,77,47,0
61.657955,61.779366,76,45,0
61.758392,61.85912,74,44,0
61.85912,61.96039,72,50,0
61.96039,62.061657,77,46,0
62.061657,62.162926,81,46,0
62.162926,62.238876,84,46,0
62.264194,62.37967,84,50,0
62.36917,62.48655,82,44,0
62.474148,62.610565,81,44,0
62.598164,62.691177,79,44,0
62.722183,63.18062,79,47,0
63.18062,63.364666,77,40,0
63.426018,63.531876,65,60,0
63.637733,63.73622,77,66,0
63.637733,63.73622,74,55,0
63.834713,64.25121,77,64,0
63.834713,64.25121,74,54,0
64.25121,64.409355,80,59,0
64.25121,64.409355,77,49,0
64.46207,64.560555,74,66,0
64.46207,64.560555,71,55,0
64.65905,65.075554,74,64,0
64.65905,65.075554,71,54,0
65.075554,65.23369,77,59,0
65.075554,65.23369,74,49,0
65.28641,65.384895,75,66,0
65.28641,65.384895,72,55,0
65.48338,65.89989,75,64,0
65.48338,65.89989,72,54,0
65.89989,66.05803,79,59,0
65.89989,66.05803,75,49,0
66.11074,66.20923,72,66,0
